"Filename","RV","RV_err"
"chrissim_18.csv",-0.495940167473028,0.506681923346298
"chrissim_30.csv",-1.7043449128176,0.510260473462489
"chrissim_32.csv",-0.417104573153959,0.509269185601529
"chrissim_35.csv",0.756670336939186,0.5076838954887
"chrissim_39.csv",0.639996018563803,0.50722707882531
"chrissim_41.csv",-0.0502818435585373,0.509810033921731
"chrissim_50.csv",0.2693041826164,0.510869672333487
"chrissim_51.csv",-0.130041155833542,0.507066050544273
"chrissim_56.csv",-0.0274892333791438,0.507352402683587
"chrissim_66.csv",0.816191472602332,0.507499246981759
"chrissim_76.csv",-0.141295689813299,0.505596662603433
"chrissim_78.csv",-0.493059195551213,0.506895273638713
"chrissim_80.csv",0.734717754503695,0.506991678221588
"chrissim_89.csv",0.368292507537332,0.508347796671736
"chrissim_92.csv",0.42840965976628,0.508035765621321
"chrissim_106.csv",0.139529638905108,0.508236033110069
"chrissim_108.csv",-0.118595752873579,0.510383479082194
"chrissim_109.csv",0.253082609054437,0.507421893687912
"chrissim_111.csv",-0.245181007165971,0.510118981117781
"chrissim_126.csv",-1.11664995891355,0.510345442558431
"chrissim_131.csv",-0.333694040858078,0.509472664579852
"chrissim_145.csv",-0.545403643691412,0.508854118536937
"chrissim_151.csv",-0.209905033252437,0.507387255179042
"chrissim_157.csv",-0.962024261432011,0.508121598843998
"chrissim_165.csv",0.247630266432427,0.508366480887844
"chrissim_167.csv",-0.49624430086676,0.508538224539894
"chrissim_173.csv",0.426137484632955,0.510343662937797
"chrissim_175.csv",-0.137084373997094,0.506874194961689
"chrissim_180.csv",0.217178905117394,0.505735693467869
"chrissim_183.csv",0.416123555965902,0.508773802177464
"chrissim_185.csv",-0.237213221923415,0.507770985518645
"chrissim_194.csv",0.372998567975665,0.506218978797395
"chrissim_196.csv",0.175122614320564,0.50827768953326
"chrissim_204.csv",0.340930530615601,0.504851050185965
"chrissim_208.csv",0.304934402717711,0.50663628444748
"chrissim_213.csv",-0.0708771786222794,0.508733726043371
"chrissim_223.csv",-1.35831639577352,0.509805636280461
"chrissim_224.csv",-0.432148562796158,0.508233980630087
"chrissim_233.csv",0.880979803352511,0.508990926080606
"chrissim_234.csv",0.299368941744047,0.508652328425654
"chrissim_264.csv",-0.100037478445463,0.507440190072025
"chrissim_265.csv",-0.0294383782756997,0.507125073625711
"chrissim_273.csv",0.074805634693952,0.507885549275112
"chrissim_281.csv",-2.19273769929019,0.511288508384479
"chrissim_284.csv",-0.853126070562986,0.507993891452819
"chrissim_311.csv",-0.201671490021629,0.508658367072472
"chrissim_312.csv",1.20121240900384,0.50608184681819
"chrissim_328.csv",-0.885312549628296,0.511025697743422
"chrissim_334.csv",-1.31673445035892,0.50819078455209
"chrissim_345.csv",-0.295361110346873,0.506484053878144
"chrissim_346.csv",0.112797229815046,0.507260932917071
"chrissim_355.csv",-0.120303276923762,0.508618526538585
"chrissim_367.csv",-0.514817820732797,0.507857220528657
"chrissim_372.csv",0.514683422698438,0.504895891697134
"chrissim_379.csv",0.839438359116701,0.510136574247917
"chrissim_383.csv",0.0742317379285261,0.50737550652716
"chrissim_387.csv",1.57092076559211,0.509890119556009
"chrissim_391.csv",0.313803130252913,0.508595700853361
"chrissim_408.csv",0.697146515457798,0.507242454829576
"chrissim_409.csv",0.244167224115782,0.505329313569777
"chrissim_420.csv",0.423418501984974,0.509480060448121
"chrissim_428.csv",-0.586772906566877,0.508039432356608
"chrissim_433.csv",1.36354601453593,0.509193305182229
"chrissim_436.csv",1.10487643450769,0.51104052803273
"chrissim_446.csv",0.846882227894392,0.506982952126667
"chrissim_465.csv",0.29684668338541,0.506598991015793
"chrissim_477.csv",0.999750074484786,0.508508261669856
"chrissim_485.csv",-0.731927728637948,0.50711304422717
"chrissim_492.csv",0.303725460622186,0.506672896543983
"chrissim_500.csv",-0.00399015430580412,0.508972350964297
"chrissim_512.csv",-0.733377449091712,0.507931492177685
"chrissim_515.csv",-1.05204483029483,0.51154007997525
"chrissim_523.csv",-0.21176822564957,0.507433730236562
"chrissim_525.csv",0.131539374930411,0.50457407110122
"chrissim_539.csv",0.363124682902061,0.511611752831563
"chrissim_545.csv",-0.17052879797681,0.505578609944018
"chrissim_547.csv",-0.0700388389198474,0.508746383912446
"chrissim_557.csv",0.695733583901083,0.5076393477864
"chrissim_564.csv",-1.03942384543329,0.507972910436818
"chrissim_578.csv",0.459930631246671,0.510374381141981
"chrissim_594.csv",1.77079947644302,0.509295980609478
"chrissim_595.csv",1.28917577592878,0.508265155013479
"chrissim_604.csv",-0.37334867554435,0.506785354759416
"chrissim_608.csv",0.75867094237077,0.507688588601491
"chrissim_612.csv",-0.115466078455626,0.509504442725059
"chrissim_623.csv",-0.249401487810939,0.506771014713293
"chrissim_624.csv",-0.646743454934733,0.505817457355429
"chrissim_632.csv",-0.240182041871214,0.507830303820305
"chrissim_637.csv",-0.884507028826807,0.509341114336033
"chrissim_639.csv",-0.80475840929388,0.508396240837643
"chrissim_653.csv",-0.836389770420437,0.509138406409374
"chrissim_655.csv",-1.02240115449704,0.50727940847595
"chrissim_674.csv",-0.0336522782959903,0.509382774050656
"chrissim_678.csv",-0.321402677469124,0.50815631439128
"chrissim_680.csv",1.63813300497544,0.508144017219753
"chrissim_706.csv",0.2573686969964,0.50758267003109
"chrissim_707.csv",0.299880312947359,0.506869698160032
"chrissim_715.csv",-0.19015082829756,0.5077746773577
"chrissim_722.csv",-0.778226251411275,0.506478913681162
"chrissim_724.csv",0.0453370345003449,0.505798442825891
