,Pvals
0,0.06814744009943319
1,0.20770485362361374
2,0.43734953237882535
3,0.9728758620021537
4,0.5072566782615993
5,0.8526915560395301
6,0.7825428204736562
7,0.33903509508945423
8,0.564364725371822
9,0.396691652203632
10,0.5240684234943498
11,0.9747954599025587
12,0.20488118120671844
13,0.8184989804233836
14,0.7322595720907514
15,0.015983096784312555
16,0.4409592762898442
17,0.5993064433918669
18,0.031820781007321844
19,0.4235156608725811
20,0.7469261708451983
21,0.8754259104486173
22,0.27468712096543924
23,0.9682448580838943
24,0.31710613623749156
25,0.9735272620030224
26,0.7729943471830222
27,0.04932770975145382
28,0.06660663905323391
29,0.6345555484366826
30,0.10885992381767115
31,0.00428476576610894
32,0.5491242892474786
33,0.8762736073254663
34,0.7571309533459226
35,0.4535457179291782
36,0.27022613821311064
37,0.16570497847614604
38,0.12976470307440935
39,0.08905176384435577
40,0.5396980958648443
41,0.9956811896428174
42,0.8496510103761927
43,0.9582728855747187
44,0.40098706679291923
45,0.5803293448661393
46,0.14542662717968238
47,0.656967445047655
48,0.5047632733788057
49,0.145953106959455
50,0.2925611624471198
51,0.3634803057829101
52,0.8805386459113496
53,0.30411017521301
54,0.4910242658966877
55,0.18400416428915348
56,0.7574494348338555
57,0.03704136836177778
58,0.23789914601041484
59,0.3938322240050416
60,0.45207534619818235
61,0.39101208537774623
62,0.12213822337320039
63,0.6778377436681622
64,0.8887183695695323
65,0.722395709616976
66,0.00720988383906555
67,0.17340530959068087
68,0.7070154243979572
69,0.23100086311130913
70,0.9399420013341032
71,0.7445893348297454
72,0.7621664136274042
73,0.8865191107423563
74,0.020400765123046352
75,0.7980601488713319
76,0.20078157094726806
77,0.2775167092485425
78,0.22123246280077033
79,0.35093690537075617
80,0.9733560628141651
81,0.5731912676782971
82,0.0048203457857908865
83,0.2262041706616725
84,0.22098593095092597
85,0.7181753638803992
86,0.6087153684343656
87,0.2993969046300464
88,0.6216123919043264
89,0.3378171842934263
90,0.11922012649037064
91,0.11016245610479816
92,0.2290420920081003
93,0.5027670210250643
94,0.017148490547043167
95,0.8299058361349372
96,0.7998759901178756
97,0.10493539235596437
98,0.9692316343922807
99,0.48623793373903323
100,0.9577052866204047
101,0.49897682491693174
102,0.21669223278438618
103,0.6168480751422935
104,0.37927594405555143
105,0.4505661233619328
